reseau,auteur,date,texte,image,url,likes,commentaires,partages
facebook,Raphaël Adam - Nanterre 2026,2026-02-08,"Aujourd'hui, j'ai rencontré les habitants du quartier des Fontenelles. Merci pour votre accueil chaleureux et vos questions pertinentes ! Ensemble, nous construisons l'avenir de Nanterre. 🏙️ #Nanterre2026",images/slider/slide2.jpg,https://facebook.com,124,32,18
twitter,Raphaël Adam,2026-02-07,"Notre engagement : une ville plus verte avec 50 hectares d'espaces verts supplémentaires d'ici 2030. C'est possible, c'est notre priorité ! 🌳 #Nanterre #Écologie",,,89,21,45
instagram,Raphaël Adam,2026-02-06,"Belle rencontre ce matin avec les commerçants du centre-ville ! Votre dynamisme fait la richesse de notre ville. Restons mobilisés ensemble ! 💪",images/slider/slide1.jpg,https://instagram.com,256,18,12
facebook,Raphaël Adam - Nanterre 2026,2026-02-05,"🎓 Éducation : notre priorité absolue ! Nous proposons la rénovation de 10 écoles et la création de 3 nouveaux groupes scolaires. Investir dans l'éducation, c'est investir dans l'avenir de nos enfants.",images/slider/slide3.jpg,https://facebook.com,198,45,28
youtube,Raphaël Adam,2026-02-04,"Regardez notre nouveau programme en vidéo ! Des propositions concrètes pour améliorer votre quotidien. Lien dans la bio. 📹",,https://youtube.com,312,67,89
twitter,Raphaël Adam,2026-02-03,"Merci aux 500 bénévoles qui nous ont rejoints ! Votre énergie et votre engagement sont notre force. Ensemble, nous allons gagner ! 🙏 #Nanterre2026",,,156,34,52
instagram,Raphaël Adam,2026-02-02,"Réunion publique ce soir à 19h à la Maison des Associations. Venez nombreux, discutons ensemble de nos projets pour Nanterre ! 🗣️",,,187,23,15
facebook,Raphaël Adam - Nanterre 2026,2026-02-01,"🚇 Transports : nous nous engageons à améliorer la desserte en bus avec 3 nouvelles lignes et des fréquences augmentées. La mobilité est un droit pour tous !",,https://facebook.com,167,29,22
twitter,Raphaël Adam,2026-01-31,"La sécurité est une priorité. Notre plan : renforcer la police municipale, améliorer l'éclairage public et installer 200 caméras supplémentaires. #Sécurité #Nanterre",,,134,41,38
instagram,Raphaël Adam,2026-01-30,"Merci pour votre présence massive lors de notre meeting d'hier soir ! Plus de 800 personnes mobilisées. La dynamique est là ! 🔥",,https://instagram.com,342,56,41
facebook,Raphaël Adam - Nanterre 2026,2026-01-29,"💼 Emploi local : nous créerons une plateforme municipale de l'emploi pour rapprocher entreprises et chercheurs d'emploi. Ensemble, luttons contre le chômage !",,https://facebook.com,145,38,19
youtube,Raphaël Adam,2026-01-28,"Découvrez le témoignage de Sophie, habitante de Nanterre depuis 20 ans. Elle nous explique pourquoi elle soutient notre projet. À voir absolument ! 🎬",,https://youtube.com,289,52,67
